Country,Date,nuclear_electricity
Belarus,1980,0.0
Belarus,1981,0.0
Belarus,1982,0.0
Belarus,1983,0.0
Belarus,1984,0.0
Belarus,1985,0.0
Belarus,1986,0.0
Belarus,1987,0.0
Belarus,1988,0.0
Belarus,1989,0.0
Belarus,1990,0.0
Belarus,1991,0.0
Belarus,1992,0.0
Belarus,1993,0.0
Belarus,1994,0.0
Belarus,1995,0.0
Belarus,1996,0.0
Belarus,1997,0.0
Belarus,1998,0.0
Belarus,1999,0.0
Belarus,2000,0.0
Belarus,2001,0.0
Belarus,2002,0.0
Belarus,2003,0.0
Belarus,2004,0.0
Belarus,2005,0.0
Belarus,2006,0.0
Belarus,2007,0.0
Belarus,2008,0.0
Belarus,2009,0.0
Belarus,2010,0.0
Belarus,2011,0.0
Belarus,2012,0.0
Belarus,2013,0.0
Belarus,2014,0.0
Belarus,2015,0.0
Belarus,2016,0.0
Belarus,2017,0.0
Belarus,2018,0.0
Belarus,2019,0.0
Belarus,2020,0.34
Belarus,2021,5.78
Belarus,2022,4.69
Belarus,2023,11.6
Belarus,2024,11.6
Belarus,2025,11.6
Belarus,2026,11.6
Belarus,2027,11.6
Belarus,2028,11.6
Belarus,2029,11.6
Belarus,2030,11.6
Belarus,2031,11.6
Belarus,2032,11.6
Belarus,2033,11.6
Belarus,2034,11.6
Belarus,2035,11.6
Belarus,2036,11.6
Belarus,2037,11.6
Belarus,2038,11.6
Belarus,2039,11.6
Belarus,2040,11.6
Belarus,2041,11.6
Belarus,2042,11.6
Belarus,2043,11.6
Belarus,2044,11.6
Belarus,2045,11.6
Belarus,2046,11.6
Belarus,2047,11.6
Belarus,2048,11.6
Belarus,2049,11.6
Belarus,2050,11.6
Belarus,2051,11.6
Belarus,2052,11.6
Belarus,2053,11.6
Belarus,2054,11.6
Belarus,2055,11.6
Belarus,2056,11.6
Belarus,2057,11.6
Belarus,2058,11.6
Belarus,2059,11.6
Belarus,2060,11.6
Belarus,2061,11.6
Belarus,2062,11.6
