Country,Date,nuclear_electricity
Russia,1985,99.32
Russia,1986,105.22
Russia,1987,124.7
Russia,1988,134.81
Russia,1989,136.34
Russia,1990,118.33
Russia,1991,119.98
Russia,1992,119.63
Russia,1993,119.19
Russia,1994,97.82
Russia,1995,99.53
Russia,1996,109.03
Russia,1997,108.5
Russia,1998,103.72
Russia,1999,121.87
Russia,2000,122.46
Russia,2001,125.36
Russia,2002,134.14
Russia,2003,141.17
Russia,2004,137.47
Russia,2005,137.64
Russia,2006,144.65
Russia,2007,147.99
Russia,2008,152.06
Russia,2009,152.78
Russia,2010,159.41
Russia,2011,162.02
Russia,2012,166.29
Russia,2013,161.38
Russia,2014,169.07
Russia,2015,182.81
Russia,2016,184.05
Russia,2017,190.12
Russia,2018,181.76
Russia,2019,195.54
Russia,2020,215.74
Russia,2021,222.44
Russia,2022,223.41
Russia,2023,226.34373822956204
Russia,2024,252.8448973184606
Russia,2025,279.34605640735913
Russia,2026,305.84721549625766
Russia,2027,332.3483745851562
Russia,2028,358.8495336740548
Russia,2029,385.3506927629533
Russia,2030,411.85185185185185
Russia,2031,416.25925925925924
Russia,2032,420.6666666666667
Russia,2033,425.0740740740741
Russia,2034,429.48148148148147
Russia,2035,433.8888888888889
Russia,2036,438.2962962962963
Russia,2037,442.7037037037037
Russia,2038,447.1111111111111
Russia,2039,451.51851851851853
Russia,2040,455.9259259259259
Russia,2041,460.3333333333333
Russia,2042,464.74074074074076
Russia,2043,469.14814814814815
Russia,2044,473.55555555555554
Russia,2045,477.96296296296293
Russia,2046,482.3703703703704
Russia,2047,486.77777777777777
Russia,2048,491.1851851851852
Russia,2049,495.5925925925926
Russia,2050,500.0
Russia,2051,504.4074074074074
Russia,2052,508.8148148148148
Russia,2053,513.2222222222222
Russia,2054,517.6296296296296
Russia,2055,522.0370370370371
Russia,2056,526.4444444444445
Russia,2057,530.8518518518518
Russia,2058,535.2592592592592
Russia,2059,539.6666666666666
Russia,2060,544.0740740740741
Russia,2061,548.4814814814815
Russia,2062,552.8888888888889
Russia,2063,557.2962962962963
Russia,2064,561.7037037037037
Russia,2065,566.1111111111111
Russia,2066,570.5185185185185
Russia,2067,574.9259259259259
Russia,2068,579.3333333333334
Russia,2069,583.7407407407408
Russia,2070,588.1481481481482
Russia,2071,592.5555555555555
Russia,2072,596.9629629629629
Russia,2073,601.3703703703704
Russia,2074,605.7777777777778
Russia,2075,610.1851851851852
Russia,2076,614.5925925925926
Russia,2077,619.0
Russia,2078,623.4074074074074
Russia,2079,627.8148148148148
Russia,2080,632.2222222222222
Russia,2081,636.6296296296296
Russia,2082,641.0370370370371
Russia,2083,645.4444444444445
Russia,2084,649.8518518518518
Russia,2085,654.2592592592592
Russia,2086,658.6666666666667
Russia,2087,663.0740740740741
Russia,2088,667.4814814814815
Russia,2089,671.8888888888889
Russia,2090,676.2962962962963
Russia,2091,680.7037037037037
Russia,2092,685.1111111111111
Russia,2093,689.5185185185185
Russia,2094,693.9259259259259
Russia,2095,698.3333333333333
Russia,2096,702.7407407407408
Russia,2097,707.1481481481482
Russia,2098,711.5555555555555
Russia,2099,715.962962962963
Russia,2100,720.3703703703704
