Country,Date,nuclear_electricity
Japan,1900,
Japan,1901,
Japan,1902,
Japan,1903,
Japan,1904,
Japan,1905,
Japan,1906,
Japan,1907,
Japan,1908,
Japan,1909,
Japan,1910,
Japan,1911,
Japan,1912,
Japan,1913,
Japan,1914,
Japan,1915,
Japan,1916,
Japan,1917,
Japan,1918,
Japan,1919,
Japan,1920,
Japan,1921,
Japan,1922,
Japan,1923,
Japan,1924,
Japan,1925,
Japan,1926,
Japan,1927,
Japan,1928,
Japan,1929,
Japan,1930,
Japan,1931,
Japan,1932,
Japan,1933,
Japan,1934,
Japan,1935,
Japan,1936,
Japan,1937,
Japan,1938,
Japan,1939,
Japan,1940,
Japan,1941,
Japan,1942,
Japan,1943,
Japan,1944,
Japan,1945,
Japan,1946,
Japan,1947,
Japan,1948,
Japan,1949,
Japan,1950,
Japan,1951,
Japan,1952,
Japan,1953,
Japan,1954,
Japan,1955,
Japan,1956,
Japan,1957,
Japan,1958,
Japan,1959,
Japan,1960,
Japan,1961,
Japan,1962,
Japan,1963,
Japan,1964,
Japan,1965,0.03
Japan,1966,0.58
Japan,1967,0.63
Japan,1968,1.04
Japan,1969,1.08
Japan,1970,4.58
Japan,1971,8.01
Japan,1972,9.48
Japan,1973,9.71
Japan,1974,19.7
Japan,1975,25.13
Japan,1976,34.08
Japan,1977,31.66
Japan,1978,59.31
Japan,1979,70.39
Japan,1980,82.59
Japan,1981,87.82
Japan,1982,102.43
Japan,1983,114.29
Japan,1984,134.26
Japan,1985,159.58
Japan,1986,165.37
Japan,1987,188.61
Japan,1988,173.9
Japan,1989,185.81
Japan,1990,194.57
Japan,1991,208.69
Japan,1992,217.04
Japan,1993,247.7
Japan,1994,258.25
Japan,1995,286.89
Japan,1996,296.5
Japan,1997,321.16
Japan,1998,325.97
Japan,1999,317.24
Japan,2000,319.12
Japan,2001,320.54
Japan,2002,314.26
Japan,2003,230.08
Japan,2004,285.87
Japan,2005,293.04
Japan,2006,304.29
Japan,2007,279.01
Japan,2008,251.74
Japan,2009,274.65
Japan,2010,292.35
Japan,2011,162.93
Japan,2012,17.99
Japan,2013,14.6
Japan,2014,0.0
Japan,2015,4.52
Japan,2016,17.68
Japan,2017,29.07
Japan,2018,49.11
Japan,2019,65.64
Japan,2020,43.0
Japan,2021,61.22
Japan,2022,51.77
Japan,2023,42.9486031846564
Japan,2024,80.6130884439912
Japan,2025,118.277573703326
Japan,2026,155.9420589626608
Japan,2027,193.60654422199562
Japan,2028,231.27102948133043
Japan,2029,268.9355147406652
Japan,2030,306.6
Japan,2031,337.26
Japan,2032,367.92
Japan,2033,398.58000000000004
Japan,2034,429.24
Japan,2035,459.9
Japan,2036,490.56
Japan,2037,521.22
Japan,2038,551.88
Japan,2039,582.54
Japan,2040,613.2
Japan,2041,643.86
Japan,2042,674.52
Japan,2043,705.18
Japan,2044,735.8399999999999
Japan,2045,766.5
Japan,2046,797.16
Japan,2047,827.8199999999999
Japan,2048,858.4799999999999
Japan,2049,889.14
Japan,2050,919.8
Japan,2051,950.4599999999999
Japan,2052,981.12
Japan,2053,1011.78
Japan,2054,1042.44
Japan,2055,1073.1
Japan,2056,1103.7599999999998
Japan,2057,1134.42
Japan,2058,1165.08
Japan,2059,1195.7399999999998
Japan,2060,1226.4
Japan,2061,1257.06
Japan,2062,1287.7199999999998
Japan,2063,1318.3799999999999
Japan,2064,1349.04
Japan,2065,1379.6999999999998
Japan,2066,1410.3599999999997
Japan,2067,1441.02
Japan,2068,1471.6799999999998
Japan,2069,1502.3399999999997
Japan,2070,1533.0
Japan,2071,1563.6599999999999
Japan,2072,1594.3199999999997
Japan,2073,1624.98
Japan,2074,1655.6399999999999
Japan,2075,1686.2999999999997
Japan,2076,1716.96
Japan,2077,1747.62
Japan,2078,1778.2799999999997
Japan,2079,1808.94
Japan,2080,1839.6
Japan,2081,1870.2599999999998
Japan,2082,1900.9199999999996
Japan,2083,1931.58
Japan,2084,1962.2399999999998
Japan,2085,1992.8999999999996
Japan,2086,2023.56
Japan,2087,2054.22
Japan,2088,2084.8799999999997
Japan,2089,2115.54
Japan,2090,2146.2
Japan,2091,2176.8599999999997
Japan,2092,2207.52
Japan,2093,2238.18
Japan,2094,2268.8399999999997
Japan,2095,2299.5
Japan,2096,2330.16
Japan,2097,2360.8199999999997
Japan,2098,2391.4799999999996
Japan,2099,2422.14
Japan,2100,2452.7999999999997
South Korea,1900,
South Korea,1901,
South Korea,1902,
South Korea,1903,
South Korea,1904,
South Korea,1905,
South Korea,1906,
South Korea,1907,
South Korea,1908,
South Korea,1909,
South Korea,1910,
South Korea,1911,
South Korea,1912,
South Korea,1913,
South Korea,1914,
South Korea,1915,
South Korea,1916,
South Korea,1917,
South Korea,1918,
South Korea,1919,
South Korea,1920,
South Korea,1921,
South Korea,1922,
South Korea,1923,
South Korea,1924,
South Korea,1925,
South Korea,1926,
South Korea,1927,
South Korea,1928,
South Korea,1929,
South Korea,1930,
South Korea,1931,
South Korea,1932,
South Korea,1933,
South Korea,1934,
South Korea,1935,
South Korea,1936,
South Korea,1937,
South Korea,1938,
South Korea,1939,
South Korea,1940,
South Korea,1941,
South Korea,1942,
South Korea,1943,
South Korea,1944,
South Korea,1945,
South Korea,1946,
South Korea,1947,
South Korea,1948,
South Korea,1949,
South Korea,1950,
South Korea,1951,
South Korea,1952,
South Korea,1953,
South Korea,1954,
South Korea,1955,
South Korea,1956,
South Korea,1957,
South Korea,1958,
South Korea,1959,
South Korea,1960,
South Korea,1961,
South Korea,1962,
South Korea,1963,
South Korea,1964,
South Korea,1965,0.0
South Korea,1966,0.0
South Korea,1967,0.0
South Korea,1968,0.0
South Korea,1969,0.0
South Korea,1970,0.0
South Korea,1971,0.0
South Korea,1972,0.0
South Korea,1973,0.0
South Korea,1974,0.0
South Korea,1975,0.0
South Korea,1976,0.0
South Korea,1977,0.07
South Korea,1978,2.32
South Korea,1979,3.15
South Korea,1980,3.48
South Korea,1981,2.9
South Korea,1982,3.78
South Korea,1983,8.97
South Korea,1984,11.79
South Korea,1985,16.75
South Korea,1986,28.31
South Korea,1987,39.31
South Korea,1988,40.1
South Korea,1989,47.37
South Korea,1990,52.89
South Korea,1991,56.31
South Korea,1992,56.53
South Korea,1993,58.14
South Korea,1994,58.65
South Korea,1995,67.03
South Korea,1996,73.92
South Korea,1997,77.09
South Korea,1998,89.69
South Korea,1999,103.06
South Korea,2000,103.52
South Korea,2001,106.53
South Korea,2002,113.15
South Korea,2003,123.19
South Korea,2004,124.18
South Korea,2005,137.59
South Korea,2006,141.18
South Korea,2007,136.6
South Korea,2008,144.26
South Korea,2009,141.12
South Korea,2010,141.89
South Korea,2011,147.76
South Korea,2012,143.55
South Korea,2013,132.46
South Korea,2014,149.17
South Korea,2015,157.16
South Korea,2016,154.2
South Korea,2017,141.28
South Korea,2018,127.08
South Korea,2019,138.68
South Korea,2020,152.58
South Korea,2021,150.52
South Korea,2022,168.58
South Korea,2023,176.69865544754353
South Korea,2024,187.5702760978945
